statefips,countyfips,countyns10,fips,name,namelsad10,boundingbox,corner_sw,corner_nw,corner_ne,corner_se,corner_wtf,extentn,extents,extente,extentw,pop_10
17,43,422191,17043,DuPage,DuPage County,"POLYGON((-88.263178 41.68534,-88.263178 41.994031,-87.914265 41.994031,-87.914265 41.68534,-88.263178 41.68534))","41.68534,-88.263178","41.994031,-88.263178","41.994031,-87.914265","41.68534,-87.914265","41.68534,-88.263178",41.99403,41.685341,-87.914268,-88.263176,916924
9,1,212794,9001,Fairfield,Fairfield County,"POLYGON((-73.727775 40.950943,-73.727775 41.666723,-72.999547 41.666723,-72.999547 40.950943,-73.727775 40.950943))","40.950943,-73.727775","41.666723,-73.727775","41.666723,-72.999547","40.950943,-72.999547","40.950943,-73.727775",41.666721,40.950943,-72.99955,-73.727776,916829
12,103,295745,12103,Pinellas,Pinellas County,"POLYGON((-82.908909 27.610273,-82.908909 28.173346,-82.540618 28.173346,-82.540618 27.610273,-82.908909 27.610273))","27.610273,-82.908909","28.173346,-82.908909","28.173346,-82.540618","27.610273,-82.540618","27.610273,-82.908909",28.173346,27.610273,-82.540619,-82.908913,916542
34,3,882271,34003,Bergen,Bergen County,"POLYGON((-74.272484 40.762114,-74.272484 41.133995,-73.893979 41.133995,-73.893979 40.762114,-74.272484 40.762114))","40.762114,-74.272484","41.133995,-74.272484","41.133995,-73.893979","40.762114,-73.893979","40.762114,-74.272484",41.133995,40.762115,-73.893982,-74.272484,905116
18,97,450371,18097,Marion,Marion County,"POLYGON((-86.328121 39.632177,-86.328121 39.927392,-85.937379 39.927392,-85.937379 39.632177,-86.328121 39.632177))","39.632177,-86.328121","39.927392,-86.328121","39.927392,-85.937379","39.632177,-85.937379","39.632177,-86.328121",39.927391,39.632175,-85.937378,-86.328117,903393
37,183,1008592,37183,Wake,Wake County,"POLYGON((-78.995054 35.519081,-78.995054 36.076268,-78.254903 36.076268,-78.254903 35.519081,-78.995054 35.519081))","35.519081,-78.995054","36.076268,-78.995054","36.076268,-78.254903","35.519081,-78.254903","35.519081,-78.995054",36.076267,35.519081,-78.254906,-78.995056,900993
9,3,212338,9003,Hartford,Hartford County,"POLYGON((-73.029537 41.544697,-73.029537 42.038854,-72.407874 42.038854,-72.407874 41.544697,-73.029537 41.544697))","41.544697,-73.029537","42.038854,-73.029537","42.038854,-72.407874","41.544697,-72.407874","41.544697,-73.029537",42.038853,41.544697,-72.407875,-73.029533,894014
12,31,293656,12031,Duval,Duval County,"POLYGON((-82.049502 30.103748,-82.049502 30.586232,-81.316712 30.586232,-81.316712 30.103748,-82.049502 30.103748))","30.103748,-82.049502","30.586232,-82.049502","30.586232,-81.316712","30.103748,-81.316712","30.103748,-82.049502",30.586231,30.103748,-81.316711,-82.0495,864263
24,33,1714670,24033,Prince George's,Prince George's County,"POLYGON((-77.086391 38.535372,-77.086391 39.131354,-76.669515 39.131354,-76.669515 38.535372,-77.086391 38.535372))","38.535372,-77.086391","39.131354,-77.086391","39.131354,-76.669515","38.535372,-76.669515","38.535372,-77.086391",39.131355,38.535374,-76.669518,-77.086388,863420
9,9,212798,9009,New Haven,New Haven County,"POLYGON((-73.327114 41.087108,-73.327114 41.644311,-72.527901 41.644311,-72.527901 41.087108,-73.327114 41.087108))","41.087108,-73.327114","41.644311,-73.327114","41.644311,-72.527901","41.087108,-72.527901","41.087108,-73.327114",41.64431,41.087109,-72.527901,-73.32711,862477
26,99,1622992,26099,Macomb,Macomb County,"POLYGON((-83.102891 42.447055,-83.102891 42.897541,-82.705966 42.897541,-82.705966 42.447055,-83.102891 42.447055))","42.447055,-83.102891","42.897541,-83.102891","42.897541,-82.705966","42.447055,-82.705966","42.447055,-83.102891",42.897541,42.447056,-82.705963,-83.10289,840978
6,29,2054176,6029,Kern,Kern County,"POLYGON((-120.194152 34.790609,-120.194152 35.798202,-117.616195 35.798202,-117.616195 34.790609,-120.194152 34.790609))","34.790609,-120.194152","35.798202,-120.194152","35.798202,-117.616195","34.790609,-117.616195","34.790609,-120.194152",35.798203,34.790607,-117.6162,-120.19415,839631
6,111,277320,6111,Ventura,Ventura County,"POLYGON((-119.636302 33.163493,-119.636302 34.901274,-118.632495 34.901274,-118.632495 33.163493,-119.636302 33.163493))","33.163493,-119.636302","34.901274,-119.636302","34.901274,-118.632495","33.163493,-118.632495","33.163493,-119.636302",34.901276,33.163494,-118.63249,-119.6363,823318
